,Window Max Daily Deaths-alias,SUM(Confirm + Probable deaths)-alias,SUM(Confirmed Deathsby Death Dt)-alias,SUM(Probable Deathsby Death Dt)-alias,DAY(Epi Dt)-value,DAY(Epi Dt)-alias,County Parameter Cum Curve-alias,AGG(Prelim start date)-alias,AGG(Prelim end date)-alias,Measure Names-alias,Measure Values-value,Measure Values-alias
83,93,21,20,1,2021-09-28 00:00:00,9/28/21,Wisconsin,9/15/2021,9/29/2021,Probable case death,1,1.00
84,93,27,19,8,2021-09-27 00:00:00,9/27/21,Wisconsin,9/14/2021,9/28/2021,Probable case death,8,8.00
85,93,23,20,3,2021-09-26 00:00:00,9/26/21,Wisconsin,9/13/2021,9/27/2021,Probable case death,3,3.00
86,93,19,18,1,2021-09-25 00:00:00,9/25/21,Wisconsin,9/12/2021,9/26/2021,Probable case death,1,1.00
87,93,31,30,1,2021-09-24 00:00:00,9/24/21,Wisconsin,9/11/2021,9/25/2021,Probable case death,1,1.00
88,93,15,14,1,2021-09-23 00:00:00,9/23/21,Wisconsin,9/10/2021,9/24/2021,Probable case death,1,1.00
89,93,17,16,1,2021-09-22 00:00:00,9/22/21,Wisconsin,9/9/2021,9/23/2021,Probable case death,1,1.00
90,93,22,19,3,2021-09-21 00:00:00,9/21/21,Wisconsin,9/8/2021,9/22/2021,Probable case death,3,3.00
91,93,20,18,2,2021-09-20 00:00:00,9/20/21,Wisconsin,9/7/2021,9/21/2021,Probable case death,2,2.00
92,93,23,21,2,2021-09-19 00:00:00,9/19/21,Wisconsin,9/6/2021,9/20/2021,Probable case death,2,2.00
93,93,28,26,2,2021-09-18 00:00:00,9/18/21,Wisconsin,9/5/2021,9/19/2021,Probable case death,2,2.00
94,93,23,22,1,2021-09-17 00:00:00,9/17/21,Wisconsin,9/4/2021,9/18/2021,Probable case death,1,1.00
95,93,20,17,3,2021-09-16 00:00:00,9/16/21,Wisconsin,9/3/2021,9/17/2021,Probable case death,3,3.00
96,93,20,18,2,2021-09-15 00:00:00,9/15/21,Wisconsin,9/2/2021,9/16/2021,Probable case death,2,2.00
97,93,15,13,2,2021-09-14 00:00:00,9/14/21,Wisconsin,9/1/2021,9/15/2021,Probable case death,2,2.00
98,93,21,19,2,2021-09-13 00:00:00,9/13/21,Wisconsin,8/31/2021,9/14/2021,Probable case death,2,2.00
99,93,26,26,0,2021-09-12 00:00:00,9/12/21,Wisconsin,8/30/2021,9/13/2021,Probable case death,0,0.00
100,93,19,17,2,2021-09-11 00:00:00,9/11/21,Wisconsin,8/29/2021,9/12/2021,Probable case death,2,2.00
101,93,21,19,2,2021-09-10 00:00:00,9/10/21,Wisconsin,8/28/2021,9/11/2021,Probable case death,2,2.00
102,93,24,23,1,2021-09-09 00:00:00,9/9/21,Wisconsin,8/27/2021,9/10/2021,Probable case death,1,1.00
103,93,20,17,3,2021-09-08 00:00:00,9/8/21,Wisconsin,8/26/2021,9/9/2021,Probable case death,3,3.00
104,93,18,16,2,2021-09-07 00:00:00,9/7/21,Wisconsin,8/25/2021,9/8/2021,Probable case death,2,2.00
105,93,9,8,1,2021-09-06 00:00:00,9/6/21,Wisconsin,8/24/2021,9/7/2021,Probable case death,1,1.00
106,93,19,19,0,2021-09-05 00:00:00,9/5/21,Wisconsin,8/23/2021,9/6/2021,Probable case death,0,0.00
107,93,19,19,0,2021-09-04 00:00:00,9/4/21,Wisconsin,8/22/2021,9/5/2021,Probable case death,0,0.00
108,93,14,13,1,2021-09-03 00:00:00,9/3/21,Wisconsin,8/21/2021,9/4/2021,Probable case death,1,1.00
109,93,18,16,2,2021-09-02 00:00:00,9/2/21,Wisconsin,8/20/2021,9/3/2021,Probable case death,2,2.00
110,93,20,19,1,2021-09-01 00:00:00,9/1/21,Wisconsin,8/19/2021,9/2/2021,Probable case death,1,1.00
111,93,11,9,2,2021-08-31 00:00:00,8/31/21,Wisconsin,8/18/2021,9/1/2021,Probable case death,2,2.00
112,93,13,10,3,2021-08-30 00:00:00,8/30/21,Wisconsin,8/17/2021,8/31/2021,Probable case death,3,3.00
113,93,19,17,2,2021-08-29 00:00:00,8/29/21,Wisconsin,8/16/2021,8/30/2021,Probable case death,2,2.00
114,93,14,12,2,2021-08-28 00:00:00,8/28/21,Wisconsin,8/15/2021,8/29/2021,Probable case death,2,2.00
115,93,17,17,0,2021-08-27 00:00:00,8/27/21,Wisconsin,8/14/2021,8/28/2021,Probable case death,0,0.00
116,93,17,16,1,2021-08-26 00:00:00,8/26/21,Wisconsin,8/13/2021,8/27/2021,Probable case death,1,1.00
117,93,12,11,1,2021-08-25 00:00:00,8/25/21,Wisconsin,8/12/2021,8/26/2021,Probable case death,1,1.00
118,93,13,12,1,2021-08-24 00:00:00,8/24/21,Wisconsin,8/11/2021,8/25/2021,Probable case death,1,1.00
119,93,20,19,1,2021-08-23 00:00:00,8/23/21,Wisconsin,8/10/2021,8/24/2021,Probable case death,1,1.00
120,93,15,13,2,2021-08-22 00:00:00,8/22/21,Wisconsin,8/9/2021,8/23/2021,Probable case death,2,2.00
