Virus name,Accession ID,Collection date
hCoV-19/USA/WI-WSLH-212166/2021,EPI_ISL_1421536,2021-03-13
hCoV-19/USA/WI-WSLH-212167/2021,EPI_ISL_1421537,2021-03-11
hCoV-19/USA/WI-WSLH-212168/2021,EPI_ISL_1421538,2021-03-11
hCoV-19/USA/WI-WSLH-212169/2021,EPI_ISL_1421540,2021-03-09
hCoV-19/USA/WI-WSLH-212170/2021,EPI_ISL_1421541,2021-03-09
hCoV-19/USA/WI-WSLH-212171/2021,EPI_ISL_1421543,2021-03-14
hCoV-19/USA/WI-WSLH-212172/2021,EPI_ISL_1421544,2021-03-09
hCoV-19/USA/WI-WSLH-212173/2021,EPI_ISL_1421546,2021-03-09
hCoV-19/USA/WI-WSLH-212174/2021,EPI_ISL_1421547,2021-03-11
hCoV-19/USA/WI-WSLH-212175/2021,EPI_ISL_1421549,2021-03-09
hCoV-19/USA/WI-CDC-QDX22728487/2021,EPI_ISL_1422868,2021-03-08
hCoV-19/USA/WI-CDC-LC0028112/2021,EPI_ISL_1462011,2021-03-13
hCoV-19/USA/WI-CDC-LC0027992/2021,EPI_ISL_1462013,2021-03-13
hCoV-19/USA/WI-CDC-LC0028221/2021,EPI_ISL_1462014,2021-03-13
hCoV-19/USA/WI-CDC-LC0027990/2021,EPI_ISL_1462015,2021-03-13
hCoV-19/USA/WI-CDC-LC0028392/2021,EPI_ISL_1462046,2021-03-10
hCoV-19/USA/WI-CDC-LC0028738/2021,EPI_ISL_1462047,2021-03-10
hCoV-19/USA/WI-UW-418/2020,EPI_ISL_480400,2020-04-13
hCoV-19/USA/WI-UW-419/2020,EPI_ISL_480401,2020-04-15
hCoV-19/USA/WI-UW-420/2020,EPI_ISL_480402,2020-04-21
hCoV-19/USA/WI-UW-421/2020,EPI_ISL_480403,2020-04-26
hCoV-19/USA/WI-UW-422/2020,EPI_ISL_480404,2020-04-27
hCoV-19/USA/WI-UW-423/2020,EPI_ISL_480405,2020-04-27
hCoV-19/USA/WI-UW-424/2020,EPI_ISL_480406,2020-04-27
hCoV-19/USA/WI-UW-425/2020,EPI_ISL_480407,2020-04-27
hCoV-19/USA/WI-UW-426/2020,EPI_ISL_480408,2020-04-27
hCoV-19/USA/WI-UW-427/2020,EPI_ISL_480409,2020-04-28
hCoV-19/USA/WI-UW-1727/2020,EPI_ISL_605600,2020-09-11
hCoV-19/USA/WI-UW-1728/2020,EPI_ISL_605601,2020-09-11
hCoV-19/USA/WI-UW-1729/2020,EPI_ISL_605602,2020-09-11
hCoV-19/USA/WI-UW-1730/2020,EPI_ISL_605603,2020-09-09
hCoV-19/USA/WI-UW-1731/2020,EPI_ISL_605604,2020-09-08
hCoV-19/USA/WI-UW-1732/2020,EPI_ISL_605605,2020-09-09
hCoV-19/USA/WI-UW-1733/2020,EPI_ISL_605606,2020-09-10
hCoV-19/USA/WI-UW-1734/2020,EPI_ISL_605607,2020-09-10
hCoV-19/USA/WI-UW-1735/2020,EPI_ISL_605608,2020-09-10
hCoV-19/USA/WI-UW-1736/2020,EPI_ISL_605609,2020-09-08
hCoV-19/USA/WI-UW-1737/2020,EPI_ISL_605610,2020-09-08
hCoV-19/USA/WI-UW-1738/2020,EPI_ISL_605611,2020-09-10
hCoV-19/USA/WI-UW-1739/2020,EPI_ISL_605612,2020-09-11
hCoV-19/USA/WI-UW-1740/2020,EPI_ISL_605613,2020-09-10
hCoV-19/USA/WI-UW-1741/2020,EPI_ISL_605614,2020-09-24
hCoV-19/USA/WI-UW-1742/2020,EPI_ISL_605615,2020-09-22
hCoV-19/USA/WI-UW-1743/2020,EPI_ISL_605616,2020-09-22
hCoV-19/USA/WI-UW-1744/2020,EPI_ISL_605617,2020-09-16
hCoV-19/USA/WI-UW-1745/2020,EPI_ISL_605618,2020-09-17
hCoV-19/USA/WI-UW-1746/2020,EPI_ISL_605619,2020-09-17
