State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
South Dakota,1735245,196148,259939,1341911,151687,1219531,182685,658920,74.5,592082,88.7,525850,59.4,475128,71.2,958965,687680,88600,0,40210,525241,776327,133,193492,294021,38303,34,193422,243400,38272,34,N/A,74.5,N/A,88.7,56.2,446081,66.8,658920,173029,95,140316,92.4,69835,65481,4979,21,385618,253912,1142580,634924,86,508086,68.8,193490,276264,38298,34,1299847,176107,235096,658870,80,525840,63.9,193490,294017,38299,34,1341857,162947,210718,208007,39.6,207982,40.9,203528,42.8,87971,62.7,94627,110849,2522,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tennessee,11985370,175502,225326,9436391,138178,8812707,165680,4163391,61,3836497,72.1,3626318,53.1,3359993,63.2,7010290,4472180,502900,0,257242,3610529,5516337,52283,1294038,2089642,231363,11275,1293426,1824383,231068,11116,N/A,61,N/A,72.1,50.8,3199739,60.2,4163391,1046240,91.5,954677,83.5,474007,439169,35626,5875,2756529,241083,1048230,4064119,69.6,3551056,60.9,1293989,2014537,231310,11220,9260230,158686,205385,4162725,64.8,3626185,56.5,1294021,2089566,231325,11273,9435572,146959,186671,1496972,41.3,1496756,42.1,1471423,43.8,625892,65.6,636837,836461,20621,3053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Texas,57677735,198917,267075,43758131,150912,38937511,180299,20403797,70.4,17856962,82.7,17257949,59.5,15325563,71,34668255,20410180,2599300,0,1501761,16157158,26095052,4160,5998029,9941265,1317819,836,5993280,8015416,1316086,781,N/A,70.4,N/A,82.7,56.2,14358564,66.5,20403797,3609975,95,3199264,85.7,1520419,1501778,176762,305,8892431,238133,1544570,19577245,81.2,16708038,69.3,5997251,9392586,1317393,808,42316427,175579,239316,20398683,75.5,17256642,63.9,5997513,9940737,1317557,835,43751766,162014,213582,6071656,35.2,6071281,36.3,5888235,38.4,1914264,59.8,2678423,3300335,92702,196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Utah,5898450,183984,259298,4983057,155431,4351701,191303,2266994,70.7,1938711,85.2,2007392,62.6,1737088,76.4,3658190,2000060,240200,0,179782,1752039,3050924,312,659260,1180663,167452,17,658793,911026,167254,15,N/A,70.7,N/A,85.2,59.2,1627783,71.6,2266994,373494,95,340378,93,146339,177192,16844,3,955165,261065,1612160,2147651,82.8,1919712,74.1,659193,1093093,167410,16,4775559,184224,227541,2266478,76.6,2007288,67.9,659238,1180612,167421,17,4982451,168431,199396,834449,41.6,834272,43.5,804158,46.3,245362,72.1,327226,496225,10994,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virginia,18406085,215641,275760,15624366,183051,13979543,209442,7177836,84.1,6344622,95,6103087,71.5,5394522,80.8,11254785,6380100,771200,0,490130,5554666,9570656,8914,1985948,3664618,449190,3331,1980082,2964695,446803,2942,N/A,84.1,N/A,95,68.3,5118782,76.7,7177836,1441357,95,1238104,91.1,575438,589025,72687,954,3528176,259634,1354480,6857832,93.9,5846179,80,1985692,3409001,448282,3204,15038165,205806,251898,7174727,89.3,6102075,76,1985812,3663848,449086,3329,15620258,194523,229215,2753078,45.1,2752029,47.1,2642945,49,885271,71.5,1155548,1554858,42087,585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Veterans Health,7754020,N/A,N/A,7183832,N/A,7180349,N/A,3398076,N/A,3396074,N/A,2927770,N/A,2926312,N/A,3359340,3768880,625800,0,254017,3702736,3226796,283,1435281,1259745,232732,12,1435220,1258389,232691,12,N/A,N/A,N/A,N/A,0,2741739,0,3398076,1662906,0,1492215,0,815125,600607,76482,1,3794914,0,0,3397956,0,2927696,0,1435259,1259700,232725,12,7183639,0,0,3397972,0,2927700,0,1435259,1259703,232726,12,7183659,0,0,1077514,36.8,1077508,36.8,1077460,36.8,709736,47.6,569109,488093,20312,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virgin Islands,145360,136758,178341,138570,130370,130075,159588,66770,62.8,62175,76.3,55642,52.3,51963,63.8,104820,37740,2800,0,2236,41466,94868,0,15545,38060,2032,5,15517,34416,2025,5,N/A,62.8,N/A,76.3,50.7,50163,61.5,66770,17878,87.3,15158,74,6015,8583,556,4,39057,190727,709835,65601,73.4,54824,61.3,15537,37253,2029,5,136604,152758,162550,66705,67,55617,55.8,15538,38045,2029,5,138480,139003,145909,15484,27.8,15484,28.2,15245,29.3,6706,44.2,5367,9976,139,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vermont,1675010,268436,328444,1336877,214247,1200932,235484,577683,92.6,512654,95,498350,79.9,441611,86.6,955370,648740,70900,0,52608,521380,762009,880,176202,274786,47096,266,176135,218210,47017,249,N/A,92.6,N/A,95,75.9,417159,81.8,577683,141737,95,125527,95,60614,62121,2637,155,373401,298628,1339590,549531,95,474288,86.1,176185,250757,47080,266,1284137,233077,304022,577495,95,498339,83.8,176201,274780,47092,266,1336700,224676,281540,288704,57.9,288657,60.9,274516,62.2,98062,78.1,124354,159967,4367,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Washington,16533415,217119,277787,13615506,178801,12311398,206851,6035994,79.3,5386527,90.5,5372158,70.5,4813789,80.9,9893295,5896920,743200,0,475341,5101350,8028129,10686,1865408,3057237,445828,3685,1864583,2500152,445469,3585,N/A,79.3,N/A,90.5,66.7,4523030,76,6035994,1226536,95,1118711,92.5,509292,549254,58490,1675,3144473,259933,1366710,5789109,89.1,5176032,79.6,1865323,2861248,445789,3672,13171885,202616,254324,6035009,84.3,5372019,75,1865383,3057151,445802,3683,13614383,190187,230965,2632154,49,2631313,50.8,2535525,52.7,828797,74.1,1154409,1442447,34545,753,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wisconsin,10895685,187133,239159,9788110,168110,8945235,196347,4122430,70.8,3706106,81.3,3738069,64.2,3375025,74.1,6430345,4014940,450400,0,331465,3748994,5705469,2182,1318392,2121110,297827,740,1318001,1758725,297602,697,N/A,70.8,N/A,81.3,61.3,3206037,70.4,4122430,1032789,95,960823,94.5,460129,469897,30500,297,2806187,275862,1071100,3966992,79.3,3607767,72.2,1318348,1990886,297798,735,9500642,190021,217923,4121985,75.1,3738015,68.1,1318382,2121085,297811,737,9787647,178218,198394,2008780,53.7,2008555,55.7,1954049,57.9,757863,78.9,844803,1137555,26330,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Virginia,3780925,210972,263924,2614653,145895,2449765,171004,1145355,63.9,1059869,74,1012532,56.5,941175,65.7,2137225,1483800,159900,0,66070,1129041,1417866,1676,416390,535569,60108,465,415928,464790,60032,425,N/A,63.9,N/A,74,54,896969,62.6,1145355,337941,92.1,306169,83.4,156576,139839,9560,194,851039,231884,1030190,1120069,71.9,993826,63.8,416293,516989,60089,455,2571026,165038,242704,1144946,67.4,1012297,59.6,416313,535429,60091,464,2613941,153841,222522,440725,43.5,440654,44.3,432913,46,197528,64.5,209038,226874,4744,69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wyoming,920865,159110,206924,723230,124962,672042,151012,333883,57.7,306697,68.9,290886,50.3,268517,60.3,470645,402320,47900,0,28488,316941,377161,640,117702,146686,26371,127,117675,124371,26346,125,N/A,57.7,N/A,68.9,46.7,248094,55.7,333883,91453,92.2,82443,83.1,41997,36477,3911,58,221152,222983,928488,325222,66.3,284427,58,117700,140233,26367,127,708191,144316,187656,333850,61.4,290879,53.5,117701,146683,26368,127,723191,132982,169330,119644,41.1,119632,42.1,117447,43.7,54494,66.1,55726,62168,1705,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
