OBJECTID,GEOID,GEO,NAME,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,DEATHS,DATE
28044,55095960100,Census tract,,28,-999,,,,,1588687200000
28045,55095960200,Census tract,,33,-999,,,,,1588687200000
28046,55095960300,Census tract,,46,-999,,,,,1588687200000
28055,55097960100,Census tract,,21,-999,,,,,1588687200000
28056,55097960200,Census tract,,18,-999,,,,,1588687200000
28057,55097960300,Census tract,,26,-999,,,,,1588687200000
28058,55097960400,Census tract,,18,-999,,,,,1588687200000
28063,55097960800,Census tract,,35,-999,,,,,1588687200000
28064,55097960900,Census tract,,21,-999,,,,,1588687200000
28065,55097961000,Census tract,,18,-999,,,,,1588687200000
28066,55097961100,Census tract,,65,-999,,,,,1588687200000
28067,55097961200,Census tract,,42,-999,,,,,1588687200000
28068,55097961300,Census tract,,25,-999,,,,,1588687200000
28073,55099970500,Census tract,,17,-999,,,,,1588687200000
28074,55099970600,Census tract,,13,-999,,,,,1588687200000
28075,55099970700,Census tract,,15,-999,,,,,1588687200000
28077,55101000100,Census tract,,20,5,,,,,1588687200000
28078,55101000200,Census tract,,84,24,,,,,1588687200000
28079,55101000300,Census tract,,52,19,,,,,1588687200000
28080,55101000400,Census tract,,78,18,,,,,1588687200000
28081,55101000500,Census tract,,90,40,,,,,1588687200000
28082,55101000600,Census tract,,103,21,,,,,1588687200000
28087,55101000904,Census tract,,98,6,,,,,1588687200000
28088,55101001001,Census tract,,85,9,,,,,1588687200000
28089,55101001002,Census tract,,38,13,,,,,1588687200000
28090,55101001003,Census tract,,62,12,,,,,1588687200000
28094,55101001301,Census tract,,51,10,,,,,1588687200000
28095,55101001302,Census tract,,79,20,,,,,1588687200000
28096,55101001400,Census tract,,107,18,,,,,1588687200000
28101,55101001601,Census tract,,79,7,,,,,1588687200000
28102,55101001602,Census tract,,31,-999,,,,,1588687200000
28103,55101001701,Census tract,,62,15,,,,,1588687200000
28104,55101001702,Census tract,,79,10,,,,,1588687200000
28112,55101002002,Census tract,,42,6,,,,,1588687200000
